iter	Passed	Remaining
0	177	177296
1	196	97871
2	204	68108
3	217	54094
4	229	45630
5	238	39577
6	250	35572
7	257	31877
8	269	29723
9	280	27818
10	296	26698
11	313	25785
12	326	24755
13	338	23817
14	352	23162
15	363	22369
16	372	21554
17	383	20946
18	394	20364
19	406	19913
20	421	19647
21	435	19347
22	440	18696
23	452	18391
24	468	18266
25	478	17930
26	486	17529
27	494	17157
28	515	17265
29	538	17403
30	550	17215
31	564	17061
32	580	16996
33	591	16806
34	601	16573
35	617	16524
36	636	16561
37	654	16574
38	667	16440
39	677	16266
40	695	16261
41	715	16308
42	735	16362
43	742	16129
44	759	16126
45	767	15908
46	778	15779
47	789	15658
48	800	15529
49	813	15453
50	824	15333
51	833	15186
52	845	15110
53	859	15063
54	871	14968
55	876	14782
56	887	14675
57	900	14632
58	918	14653
59	936	14666
60	949	14608
61	963	14573
62	979	14561
63	991	14503
64	1001	14405
65	1016	14382
66	1030	14344
67	1049	14379
68	1069	14423
69	1083	14396
70	1093	14305
71	1110	14315
72	1126	14301
73	1147	14364
74	1161	14320
75	1167	14188
76	1187	14238
77	1208	14279
78	1228	14322
79	1245	14328
80	1263	14336
81	1281	14351
82	1295	14314
83	1311	14301
84	1322	14236
85	1342	14265
86	1356	14234
87	1370	14199
88	1380	14127
89	1394	14101
90	1414	14127
91	1423	14048
92	1433	13985
93	1450	13978
94	1461	13920
95	1476	13901
96	1490	13872
97	1505	13855
98	1516	13801
99	1528	13753
100	1540	13707
101	1551	13659
102	1563	13617
103	1579	13606
104	1594	13588
105	1610	13583
106	1629	13602
107	1645	13589
108	1660	13570
109	1664	13471
110	1681	13469
111	1704	13510
112	1722	13518
113	1739	13516
114	1751	13479
115	1763	13436
116	1770	13364
117	1788	13369
118	1810	13401
119	1822	13365
120	1837	13344
121	1849	13308
122	1869	13330
123	1885	13318
124	1902	13319
125	1910	13253
126	1922	13216
127	1938	13208
128	1945	13137
129	1958	13103
130	1975	13105
131	1992	13100
132	2006	13079
133	2025	13087
134	2041	13081
135	2053	13048
136	2063	12996
137	2073	12949
138	2088	12933
139	2101	12908
140	2113	12873
141	2123	12831
142	2135	12799
143	2144	12746
144	2159	12736
145	2167	12676
146	2179	12647
147	2192	12619
148	2206	12602
149	2220	12582
150	2232	12552
151	2242	12511
152	2255	12486
153	2266	12449
154	2276	12412
155	2284	12359
156	2295	12324
157	2304	12281
158	2312	12229
159	2321	12189
160	2338	12186
161	2349	12153
162	2362	12132
163	2373	12097
164	2385	12073
165	2394	12028
166	2403	11989
167	2410	11939
168	2419	11895
169	2431	11872
170	2440	11831
171	2451	11803
172	2457	1173	2173	2468	1174	2174	2483	1175	2175	2495	1176	2176	2512	11681
177	2521	11645
178	2535	11627
179	2546	11599
180	2555	11563
181	2568	11545
182	2582	11527
183	2589	11483
184	2597	1185	2185	2614	11442
186	2623	11404
187	2632	11371
188	2645	11351
189	2655	11318
190	2661	11273
191	2670	1192	2192	2684	11223
193	2696	11202
194	2708	1195	2195	2714	1196	2196	2725	1197	2197	2736	1198	2198	2751	11074
199	2757	1200	2200	2766	1201	2201	2776	1202	2202	2785	1203	2203	2800	1204	2204	2816	10923
205	2825	10889
206	2834	1207	2207	2845	1208	2208	2853	1209	2209	2866	1210	2210	2875	1211	2211	2887	1212	2212	2899	1213	2213	2907	1214	2214	2915	1215	2215	2928	1216	2940	10608
217	2948	10575
218	2218	2957	1219	2219	2967	1220	2220	2980	1221	2221	2991	1222	2997	10445
223	3223	3007	1224	3016	10391
2225	3021	103482226	3033	103302227	3044	103072228	3052	102752229	229	3067	1230	3230	3079	1231	3091	10233
232	3232	3103	1233	3233	3111	1234	3234	3124	1235	3138	10160
236	3146	10128
237	3237	3161	1238	3238	3173	1239	3186	10090
240	3198	10072
241	3209	10054
242	3242	3219	1243	3243	3229	244	3242	9990
245	3250	9962
246	3265	9954
247	3274	9929
248	3287	9915
249	32249	3297250	3309	9876
251	33251	3323252	33252	3336253	33253	3343254	33254	3354255	33255	3363256	33256	3374257	33257	3390258	33258	3400	9730
259	3407260	34260	3417261	34261	3434	9675
262	3451	9671
263	3458	9641
264	3468	9620
265	3480	9603
266	3491	9584
267	3508	9581
268	3520	9567
269	3529	9542
270	3541	9527
271	3551	9506
272	3558273	35273	3568	9455
274	3581275	35275	3591276	35276	3608	9417
277	3618	9397
278	3627	9373
279	3639	9357
280	3656	9356
281	3669	9343
282	3684	9334
283	3692	9308
284	3709	9306
285	3717	9281
286	3725	9256
287	3739	9243
288	3749	9225
289	3756290	37290	3768291	37291	3786	9180
292	3799	9167
293	3814	9160
294	3830	9154
295	3840	9133
296	3858	9132
297	3870	9116
298	3880	9097
299	3889	9074
300	3903	9064
301	3915	9050
302	3926	9032
303	3936	9012
304	3946	8991
305	3958	8976
306	3965	8951
307	3978	8939
308	3988	8918
309	3996	8895
310	4003	8870
311	4017	8859
312	4027313	40313	4035314	40314	4049	8806
315	4061	8791
316	4073	8777
317	4086	8764
318	4104	8762
319	4115	8744
320	4132	8741
321	4143	8725
322	4155	8708
323	4168	8697
324	4180	8681
325	4185	8653
326	4194327	41327	4204328	42328	4215329	42329	4228330	42330	4238331	42331	4249332	42332	4262333	42333	4275334	42334	4288335	42335	4300336	43336	4314	8487
337	4326	8474
338	4334	8450
339	4341340	43340	4352341	43341	4359342	43342	4367343	43343	4377344	43344	4390345	43345	4402346	44346	4415347	4424	8289
348	4438	8279
349	4451	8267
350	4459	8245
351	4472	8232
352	4481	8214
353	4495	8203
354	4510	8195
355	4516	8169
356	4528	8156
357	4532	8128
358	4547	8120
359	4557	8102
360	4572	8093
361	4587	8085
362	4595	8064
363	4609	8053
364	46364	4623365	4629	8019
366	4643	8009
367	4655	7994
368	46368	4672369	46369	4688370	46370	4705	7978
371	4718	7966
372	4730	7951
373	4739	7932
374	4747	7912
375	4761	7901
376	4773	7887
377	4782	7869
378	4791	7850
379	4801380	48380	4807381	4812	7786
382	48382	4829383	4837	7759
384	4851	7750
385	4863	7736
386	4873	7720
387	4887	7708
388	4896	7691
389	4909	7678
390	4921	7665
391	4937	7658
392	4954	7652
393	4967	7640
394	4979	7626
395	4991	7613
396	5000	7595
397	5015	7585
398	5025	7569
399	5042	7564
400	5055	7551
401	5065	7535
402	5074	7517
403	5090	7509
404	5100	7494
405	5109	7475
406	5115	7452
407	5125	7437
408	5138	7425
409	5153	7415
410	5167	7406
411	5176	7387
412	5192	7380
413	5206	7369
414	5218	7356
415	5226	7336
416	5236	7320
417	5243	7300
418	5253	7284
419	5261	7265
420	52420	5278421	52421	5285422	5291	7217
423	5309	7212
424	5318	7196
425	5326	7176
426	5339	7165
427	5348	7148
428	5358	7131
429	5367	7115
430	5375	7097
431	5387	7084
432	5399	7069
433	540434	540434	5423	7044
435	5433	7028
436	5448	7019
437	5458	7003
438	5471	6992
439	5482	6978
440	5491	6960
441	5503	6948
442	5514	6934
443	5523	6916
444	5537	6906
445	554446	554446	555447	555447	556448	557448	557449	558449	558450	558450	5605	6823
451	5614	6807
452	5626	6794
453	5639	6782
454	5652	6770
455	5666	6760
456	5682	6752
457	5691	6735
458	5704	6724
459	571460	571460	5728	6697
461	5738	6682
462	574463	574463	575464	576464	576465	576465	5791	6636
466	5815	6637
467	5839	6638
468	5854	6628
469	5865	6614
470	5876	6600
471	5895	6594
472	5920	6596
473	5948	6600
474	5965	6593
475	5992	6596
476	6010	6590
477	6038	6594
478	6056	6587
479	6071	6577
480	6080	6561
481	6093	6548
482	6103	6533
483	611484	612484	612485	613485	613486	6156	6485
487	6170	6474
488	6181	6460
489	6192	6445
490	6200	6427
491	620491	620492	621492	621493	622493	622494	623494	622495	624495	6246	6347
496	6258	6333
497	6266	6317
498	6279	6304
499	628500	629500	629501	631501	630502	632502	631503	6334	6234
504	634504	633505	635505	634506	636506	636507	637507	637508	639508	638509	640509	639510	641510	6414	6138
511	642512	643512	6436	6110
513	6452	6100
514	645515	646515	646516	647516	647517	649517	648518	649518	650519	650519	651520	652520	6531	6005
521	6551	5999
522	6561	5983
523	6574	5972
524	6588	5961
525	6603	5950
526	6613	5935
527	6628	5925
528	6638	5910
529	6656	5903
530	6671	5892
531	6678	5875
532	6683	5855
533	6689	5837
534	6701	5824
535	6715	5813
536	6725	5798
537	6740	5787
538	6750	5773
539	6760	5758
540	6773	5746
541	6789	5737
542	6804	5727
543	6820	5716
544	6834	5705
545	6840	5688
546	6854	5676
547	6866	5663
548	6877	5650
549	6886	5634
550	6898	5621
551	6912	5610
552	6922	5595
553	6934	5582
554	6947	5570
555	6960	5558
556	6975	5548
557	6989	5536
558	7001	5523
559	7008	5506
560	7021	5494
561	7033	5481
562	7040	5464
563	7063	5460
564	7077	5449
565	7089	5436
566	7101	5423
567	7112	5409
568	7122	5394
569	7139	5385
570	7146	5369
571	7156	5354
572	7170	5343
573	7181	5329
574	7196	5318
575	7205	5303
576	7223	5295
577	7234	5281
578	7239	5264
579	7250	5250
580	7255	5232
581	7271	5222
582	7285	5210
583	7299	5199
584	7310	5186
585	7326	5176
586	7338	5163
587	7350	5150
588	7356	5133
589	7375	5125
590	7385	5111
591	7397	5098
592	7414	5088
593	7425	5075
594	7437	5062
595	7449	5049
596	7463	5037
597	7472	5023
598	7481	5008
599	7491	4994
600	7501	4979
601	7514	4968
602	7525	4954
603	7538	4942
604	7545	4926
605	7557	4913
606	7566	4899
607	7578	4886
608	7592	4874
609	7605	4862
610	7621	4852
611	7635	4840
612	7643	4825
613	7657	4814
614	7677	4806
615	7692	4795
616	7705	4783
617	7719	4771
618	7731	4758
619	7742	4745
620	7752	4731
621	7760	4716
622	7774	4704
623	7782	4689
624	7796	4678
625	7811	4666
626	7820	4652
627	7828	4637
628	7842	4625
629	7856	4614
630	7863	4598
631	7877	4586
632	7885	4572
633	7898	4559
634	7909	4546
635	7914	4529
636	7928	4517
637	7940	4505
638	7948	4490
639	7960	4477
640	7976	4467
641	7984	4452
642	8003	4443
643	8013	4429
644	8022	4415
645	8033	4402
646	8045	4389
647	8054	4375
648	8066	4362
649	8077	4349
650	8093	4338
651	8104	4325
652	8123	4316
653	8134	4303
654	8147	4291
655	8156	4277
656	8170	4265
657	8178	4250
